frame, Pts detected, Pts after NMS, Pts Stereo Match, Mean 3D reproj error, 8-point ransac it, Pts Tracking, Pts Quad Match, GN it, GN mean it,  Num inliers GN
119,2006,470,231,0.139099,5,226,142,4,6,93
120,2005,481,241,0.14899,5,230,137,3,4,100
121,2006,486,243,0.127025,9,220,129,3,6,97
122,2007,488,231,0.120026,6,199,125,4,5,91
123,2007,499,221,0.104702,5,203,136,4,4,108
124,2007,476,213,0.121724,5,200,126,4,4,94
125,2007,490,207,0.133527,7,194,113,4,4,85
126,2007,485,216,0.113233,6,198,136,3,4,110
127,2005,480,202,0.123039,6,183,123,4,5,90
128,2009,465,194,0.114332,7,182,113,4,3,91
129,2003,469,185,0.125432,10,167,101,4,5,84
130,2006,476,174,0.121292,7,165,91,4,3,70
131,2002,462,195,0.118644,4,183,105,3,6,77
132,2008,462,195,0.125793,6,189,113,4,4,81
133,2006,467,179,0.119391,4,175,99,4,5,80
134,2006,465,197,0.113438,6,188,109,4,4,83
135,2003,457,163,0.137628,5,159,86,3,4,66
136,2009,458,173,0.115796,6,164,106,3,4,81
137,2006,471,189,0.115564,5,177,118,3,5,89
138,2006,480,183,0.110577,8,172,95,4,3,78
139,2010,472,171,0.118023,6,165,111,3,4,91
140,2008,467,181,0.0790572,3,179,109,3,4,90
141,2004,479,207,0.117407,4,201,130,4,4,103
142,2005,485,195,0.126692,4,191,122,4,4,89
143,2006,479,188,0.12018,3,185,125,4,5,102
144,2009,487,212,0.0995605,6,203,122,3,5,89
145,2009,492,214,0.102716,4,210,122,4,4,91
146,2007,479,191,0.108829,5,180,108,4,5,78
147,2008,485,209,0.113822,5,202,124,3,5,98
148,2008,497,227,0.120141,6,215,132,4,5,102
149,2008,478,224,0.11339,5,205,128,4,5,98
150,2004,485,229,0.105192,6,215,136,4,5,98
151,2007,482,209,0.11826,11,190,119,4,4,85
152,2008,483,192,0.125177,6,176,111,4,4,85
153,2006,495,198,0.121471,9,175,107,4,4,80
154,2010,483,210,0.109067,4,198,117,4,4,93
155,2006,487,200,0.0950193,5,176,100,4,5,74
156,2004,487,209,0.104298,6,188,115,4,5,88
157,2007,496,179,0.0952278,6,160,88,3,4,68
158,2009,477,180,0.110634,12,156,98,3,6,74
159,2007,455,180,0.0988697,5,173,110,4,3,86
160,2008,443,199,0.138831,5,189,123,3,5,92
161,2011,440,192,0.120124,7,170,116,4,3,78
162,2006,430,187,0.158886,6,177,99,4,4,55
163,2004,428,198,0.159987,6,187,113,3,5,73
164,2003,423,226,0.127619,5,217,136,4,4,99
165,2005,433,205,0.148209,5,193,117,4,5,76
166,2004,426,222,0.155552,5,211,129,4,4,96
167,2008,430,213,0.126334,5,194,117,4,5,78
168,2008,439,202,0.137174,5,187,120,4,5,88
169,2004,432,193,0.133757,5,186,105,4,5,70
170,2008,416,215,0.118519,6,204,127,4,5,89
171,2004,409,197,0.150618,5,190,109,4,4,69
172,2010,412,211,0.120041,6,201,123,3,3,96
173,2005,428,225,0.125225,7,213,117,4,6,82
174,2004,430,229,0.10938,4,220,140,4,5,103
175,2006,435,230,0.127212,5,221,133,4,5,92
176,2010,429,225,0.145626,7,212,123,3,5,82
177,2007,441,227,0.134582,9,215,133,4,7,100
178,2011,445,229,0.152226,12,206,130,3,6,91
179,2007,446,238,0.126386,10,212,119,4,7,70
180,2006,452,228,0.171056,7,220,127,4,5,87
181,2007,462,248,0.142793,5,230,135,4,5,85
182,2007,460,238,0.140767,4,225,147,4,5,110
183,2003,448,249,0.13993,4,235,133,3,5,96
184,2009,441,239,0.124945,7,221,141,3,4,99
185,2006,442,236,0.128519,8,219,134,4,6,88
186,2010,442,243,0.131028,5,229,124,4,7,85
187,2006,431,228,0.143216,7,210,123,4,6,98
188,2004,443,241,0.122421,8,226,133,4,6,89
189,2007,442,235,0.129912,6,219,140,4,5,98
190,2004,444,236,0.106591,5,219,133,3,5,93
191,2006,433,232,0.129714,15,221,128,4,5,90
192,2008,439,230,0.142366,4,222,141,4,5,106
193,2014,434,221,0.116663,4,208,129,3,4,91
194,2004,444,211,0.131074,5,198,133,3,6,91
195,2008,443,214,0.108429,5,199,115,3,4,84
196,2008,445,210,0.127986,3,206,113,3,4,83
197,2010,436,214,0.13715,5,211,136,4,5,97
198,2009,420,202,0.135908,8,187,110,3,5,79
199,2010,411,208,0.142541,4,201,114,4,5,81
200,2010,424,204,0.146601,9,187,113,4,6,84
201,2006,418,197,0.154119,5,191,115,3,5,71
202,2006,407,219,0.144744,4,218,125,4,4,95
203,2007,409,202,0.162538,8,188,117,3,6,71
204,2008,411,202,0.145167,6,201,123,3,4,80
205,2012,412,216,0.127321,3,214,128,3,4,75
206,2006,419,224,0.136463,3,223,128,3,6,92
207,2007,428,231,0.119394,8,228,143,3,4,98
208,2009,429,243,0.109965,3,238,151,4,5,108
209,2008,434,231,0.138847,3,229,138,4,7,94
210,2008,410,238,0.114574,6,224,155,3,5,102
211,2005,414,240,0.131416,3,235,158,3,7,107
212,2009,402,226,0.110532,3,225,141,4,5,99
213,2006,404,247,0.115084,5,234,144,4,4,112
214,2008,395,241,0.121433,4,231,143,4,4,104
215,2008,395,221,0.124877,4,211,135,4,4,86
216,2009,402,225,0.143878,6,220,128,4,6,80
217,2009,396,200,0.144201,4,195,104,3,6,62
218,2008,393,197,0.14882,6,189,98,4,7,58
219,2008,388,212,0.144511,6,200,116,4,4,83
220,2004,394,210,0.130101,8,190,119,4,4,82
221,2010,406,212,0.148121,9,193,93,4,5,61
222,2007,410,198,0.151972,13,174,99,4,4,67
223,2006,411,190,0.146917,20,158,105,4,4,72
224,2008,420,223,0.149536,6,209,128,4,5,85
225,2007,417,189,0.136176,5,181,97,4,4,62
226,2005,413,196,0.126769,10,171,101,3,5,74
227,2008,410,202,0.130778,7,191,109,4,4,80
228,2007,405,207,0.12899,7,193,120,4,5,85
229,2003,404,200,0.132174,6,190,132,3,4,94
230,2005,411,186,0.109796,6,176,118,3,4,89
231,2007,392,190,0.127863,8,175,107,3,5,81
232,2008,391,183,0.114481,8,172,114,4,4,80
233,2005,388,203,0.138084,6,193,121,4,5,83
234,2007,396,200,0.119499,7,190,120,3,6,85
235,2008,397,216,0.149626,9,200,126,4,6,88
236,2010,402,226,0.131928,7,212,146,4,4,99
237,2008,409,229,0.125704,7,212,138,3,5,110
238,2007,406,218,0.129402,7,206,149,3,4,108
239,2010,410,226,0.14477,10,202,133,4,6,82
240,2007,424,238,0.13935,6,226,134,4,4,99
241,2008,422,235,0.115871,6,217,149,4,4,108
242,2007,430,237,0.106485,4,228,141,4,5,93
243,2009,436,239,0.133222,3,229,153,3,5,113
244,2005,430,235,0.128425,4,225,158,4,6,109
245,2006,433,259,0.141433,4,252,160,3,6,98
246,2004,429,241,0.137465,4,233,147,4,6,101
247,2005,434,244,0.139421,4,237,148,4,5,95
248,2008,435,256,0.140076,5,252,161,4,7,97
249,2002,449,255,0.147827,4,242,165,3,4,115
250,2006,446,240,0.134317,4,234,150,3,4,105
251,2005,456,246,0.140303,6,229,138,4,5,89
252,2008,445,253,0.143459,6,238,130,3,6,88
253,2006,458,246,0.152368,4,243,149,3,6,102
254,2010,461,253,0.151568,6,239,139,3,8,86
255,2008,469,248,0.119635,5,238,153,4,3,116
256,2011,476,245,0.122814,8,227,145,3,5,104
257,2007,465,229,0.124442,9,204,135,4,5,95
258,2004,469,222,0.127417,5,208,126,4,3,92
259,2009,466,230,0.107275,5,219,121,4,5,81
260,2005,479,217,0.135036,4,211,130,4,6,92
261,2008,470,196,0.125525,6,185,113,3,4,91
262,2008,496,214,0.140435,6,196,113,4,4,92
263,2007,488,212,0.12616,7,188,117,4,5,88
264,2007,489,172,0.138804,9,155,87,4,5,56
265,2005,479,184,0.148204,5,177,98,4,4,73
266,2001,479,178,0.148294,6,173,103,4,4,75
267,2011,468,161,0.138535,6,155,93,3,5,79
268,2005,487,184,0.122322,5,180,102,4,5,78
269,2008,478,176,0.135974,6,167,95,3,4,78
270,2007,481,193,0.109719,4,189,109,3,4,91
271,2008,482,187,0.115925,11,171,96,4,5,72
272,2008,481,183,0.147807,7,175,97,3,6,75
273,2007,482,212,0.099981,5,203,127,4,5,104
274,2004,498,201,0.136845,5,193,109,4,4,86
275,2007,483,225,0.138602,6,211,119,3,4,99
276,2007,478,208,0.132545,6,195,119,4,5,84
277,2005,490,213,0.138226,10,193,111,3,5,84
278,2006,492,221,0.131784,7,206,112,3,5,82
279,2008,472,222,0.125724,6,209,125,4,6,95
280,2006,495,232,0.146036,10,213,122,4,6,91
281,2006,468,221,0.143072,11,197,109,4,4,66
282,2006,470,249,0.118643,9,205,132,3,5,105
283,2004,455,245,0.133726,8,219,124,3,6,94
284,2003,461,252,0.14325,8,224,117,4,6,85
285,2007,464,265,0.112598,6,232,142,4,7,110
286,2007,455,267,0.125502,8,245,142,4,7,96
287,2005,455,273,0.125595,8,241,134,4,5,100
288,2003,446,246,0.119533,7,203,131,4,6,89
289,2008,441,248,0.128701,5,218,111,4,5,81
290,2010,450,229,0.124147,4,208,120,4,5,98
291,2008,436,227,0.118644,7,200,124,3,4,98
292,2004,433,216,0.125065,10,194,121,4,5,76
293,2006,429,213,0.148473,5,200,108,4,5,63
294,2003,425,214,0.13539,6,197,109,4,6,75
295,2007,432,231,0.116313,4,215,140,4,5,99
296,2005,439,248,0.146453,5,225,137,4,7,102
297,2010,439,260,0.111351,6,244,154,4,6,111
298,2011,431,247,0.127694,9,228,134,4,4,107
299,2006,421,231,0.112676,5,219,133,4,6,102
300,2007,423,238,0.123105,6,224,117,3,5,85
301,2004,423,244,0.141525,8,225,147,4,5,105
302,2007,411,231,0.135526,8,212,122,4,5,91
303,2009,417,242,0.128449,4,228,122,4,6,82
304,2004,394,231,0.126079,6,218,134,3,4,89
305,2006,405,249,0.123085,5,237,144,4,5,113
306,2004,418,257,0.11052,9,216,141,4,6,117
307,2007,425,227,0.0997118,7,214,123,4,5,95
308,2014,422,239,0.113936,7,221,141,4,6,110
309,2007,423,239,0.127944,6,222,124,4,5,98
310,2008,432,231,0.0982594,5,218,129,4,4,98
311,2008,432,208,0.135748,7,183,119,4,5,97
312,2003,431,227,0.12552,4,218,132,4,6,100
313,2005,429,221,0.149412,6,209,112,4,6,77
314,2007,438,240,0.11142,4,230,134,4,6,103
315,2009,444,244,0.0912422,6,228,135,4,5,107
316,2006,444,225,0.126221,5,213,122,4,6,83
317,2005,464,248,0.125154,5,238,147,4,6,111
318,2003,476,256,0.118811,4,237,151,4,5,114
319,2008,474,214,0.116297,9,191,121,4,6,99
320,2005,455,255,0.125689,9,228,152,4,6,117
321,2006,444,243,0.109817,14,221,139,4,6,108
322,2004,436,245,0.113557,7,229,147,3,8,106
323,2005,434,250,0.144881,8,240,136,4,7,91
324,2004,444,262,0.10956,9,229,147,4,4,122
325,2006,430,238,0.124786,9,202,123,4,5,96
326,2006,419,214,0.109065,7,199,109,4,5,84
327,2008,410,225,0.125651,6,212,127,4,5,98
328,2005,432,230,0.111589,4,211,120,4,4,92
329,2006,422,236,0.105539,6,221,120,4,8,81
330,2006,416,226,0.118847,6,204,125,4,5,89
331,2007,437,223,0.105439,6,203,122,4,5,100
332,2007,441,223,0.126618,10,194,108,3,4,85
333,2005,443,208,0.11413,5,193,121,3,5,98
334,2008,454,219,0.106962,8,199,112,4,5,91
335,2006,463,211,0.112196,6,190,113,3,4,88
336,2008,455,204,0.125859,6,192,111,3,6,74
337,2007,458,197,0.109554,8,185,113,4,5,89
338,2008,446,214,0.111106,5,196,113,4,4,93
339,2007,460,205,0.0959565,4,200,129,4,5,102
340,2009,449,219,0.125854,4,210,117,4,4,91
341,2005,466,201,0.117436,5,189,124,3,5,98
342,2010,459,191,0.120896,3,176,112,4,4,91
