frame, Pts detected, Pts after NMS, Pts Stereo Match, Mean 3D reproj error, 8-point ransac it, Pts Tracking, Pts Quad Match, GN it, GN mean it,  Num inliers GN
524,2008,489,229,0.128563,4,206,114,3,4,79
525,2007,462,256,0.0885109,11,207,138,4,5,102
526,2007,450,238,0.122869,5,225,140,3,7,92
527,2005,451,244,0.144397,10,229,140,3,4,98
528,2007,441,247,0.138899,4,234,159,4,4,106
529,2009,441,251,0.114959,9,223,138,4,5,86
530,2006,447,254,0.132202,4,227,146,3,6,100
531,2005,467,255,0.148815,8,237,147,3,5,75
532,2006,453,249,0.13028,6,229,153,4,6,90
533,2006,462,251,0.145566,4,237,150,3,4,92
534,2007,442,270,0.138162,4,245,151,4,5,104
535,2008,443,262,0.130211,5,243,154,4,4,107
536,2007,472,289,0.133829,7,262,148,3,7,91
537,2005,465,273,0.163783,7,250,162,3,6,89
538,2005,454,277,0.158125,5,259,159,4,5,81
539,2008,438,272,0.1584,6,250,141,4,7,83
540,2010,449,270,0.168724,7,250,143,4,6,93
541,2004,456,259,0.131097,8,233,139,4,6,89
542,2006,453,253,0.158876,7,235,137,4,5,75
543,2008,441,245,0.1483,6,225,146,4,7,81
544,2010,464,248,0.156319,6,223,135,3,6,78
545,2004,473,242,0.134419,13,212,128,4,5,71
546,2009,461,242,0.165741,7,226,133,4,7,69
547,2008,470,250,0.133913,7,223,137,3,5,83
548,2007,457,254,0.147839,17,206,123,3,6,61
549,2007,464,262,0.174111,14,221,121,4,6,65
550,2004,446,255,0.144543,12,218,136,4,5,70
551,2008,446,270,0.154429,30,235,147,3,7,75
552,2008,451,272,0.170177,11,236,137,4,7,65
553,2007,462,288,0.172169,16,242,138,4,7,77
554,2006,452,283,0.170559,8,249,146,3,6,79
555,2003,456,299,0.154537,8,265,155,4,7,81
556,2006,453,308,0.142983,11,275,158,4,7,94
557,2007,472,317,0.161677,14,255,143,4,6,81
558,2006,482,308,0.151566,26,262,132,4,6,76
559,2009,469,309,0.131893,20,257,143,4,5,102
560,2009,473,275,0.15453,18,228,123,4,6,74
561,2008,487,281,0.169384,11,244,127,4,5,79
562,2006,478,265,0.14236,8,219,129,4,6,84
563,2004,492,266,0.140345,11,221,135,4,7,90
564,2007,489,263,0.133614,10,218,124,4,7,77
565,2009,501,245,0.14189,21,190,95,4,6,68
566,2006,472,258,0.136866,36,194,115,4,5,83
567,2004,463,277,0.141395,16,219,131,4,7,77
568,2010,470,283,0.136042,43,198,119,4,6,64
569,2009,457,269,0.141329,11,228,127,4,6,71
570,2005,482,297,0.159567,9,254,140,4,8,79
571,2006,457,287,0.129717,10,250,151,4,7,99
572,2007,462,287,0.146678,12,235,142,4,8,79
573,2005,474,309,0.135651,15,253,150,4,8,95
574,2006,464,306,0.135967,7,272,167,4,6,101
575,2007,460,317,0.119118,17,269,158,4,7,100
576,2008,477,310,0.146216,31,258,156,4,7,98
577,2006,485,305,0.146665,9,264,140,4,5,88
578,2006,472,304,0.125026,22,251,138,4,5,96
579,2008,493,296,0.138715,18,243,138,4,7,84
580,2008,491,271,0.143933,8,229,118,4,8,76
581,2010,501,261,0.119272,16,220,121,4,4,93
582,2008,498,277,0.143338,10,246,138,3,5,103
583,2007,485,280,0.116476,12,253,138,3,5,97
584,2010,494,290,0.140263,12,242,137,4,7,106
585,2007,484,262,0.110645,13,207,131,4,5,97
586,2006,472,258,0.136288,26,175,105,4,6,61
587,2009,467,277,0.138356,11,222,131,3,5,83
588,2005,449,284,0.128444,8,236,147,4,6,94
589,2005,455,284,0.129619,6,227,132,4,5,85
590,2010,433,260,0.145064,10,202,131,4,4,77
591,2008,443,266,0.13286,3,247,143,4,6,94
592,2008,446,278,0.135837,6,254,164,4,6,104
593,2009,455,277,0.117494,7,235,148,4,6,96
594,2008,446,255,0.124156,8,216,118,4,6,70
595,2003,449,239,0.123708,7,214,133,4,5,85
596,2006,446,230,0.131404,8,212,145,4,5,89
597,2007,447,261,0.152985,10,237,145,4,6,77
598,2008,457,263,0.124417,7,240,164,3,6,100
599,2007,461,261,0.145237,9,225,144,4,7,87
600,2007,446,258,0.143604,8,233,154,3,6,82
601,2008,453,256,0.148642,25,208,146,4,7,87
602,2006,453,263,0.138784,8,231,158,3,4,100
603,2005,458,247,0.123758,13,219,143,4,8,86
604,2008,438,257,0.130294,8,233,154,4,6,99
605,2004,454,265,0.139242,7,246,161,4,5,102
606,2008,470,262,0.129757,5,247,172,4,4,109
607,2008,461,265,0.126571,5,246,173,4,4,114
608,2006,459,255,0.142367,6,236,169,4,6,119
609,2005,456,260,0.124278,18,212,151,4,4,108
610,2004,483,264,0.107825,11,212,140,4,5,101
611,2006,479,254,0.129372,42,205,140,3,4,106
612,2007,483,248,0.136378,13,214,136,4,5,99
613,2004,475,246,0.117309,9,217,144,4,4,111
614,2006,484,233,0.132701,8,204,132,4,6,95
615,2008,478,249,0.138481,6,230,155,4,5,110
616,2009,461,230,0.11455,11,203,142,4,4,111
617,2002,482,243,0.11176,11,203,135,4,4,92
618,2007,480,263,0.116455,7,206,142,4,5,101
619,2007,458,245,0.127183,5,219,147,4,5,110
620,2005,455,247,0.105964,5,218,157,4,4,121
621,2005,472,252,0.132763,9,224,153,4,6,106
622,2008,469,256,0.12297,8,244,162,4,3,125
623,2004,497,261,0.131545,5,248,166,3,4,128
624,2003,495,284,0.113875,16,249,159,3,4,123
625,2006,489,256,0.133329,5,230,150,3,4,115
626,2004,495,263,0.136759,7,239,153,3,4,106
627,2003,494,251,0.139332,6,236,140,4,4,110
628,2009,500,252,0.12447,4,243,151,3,5,115
629,2004,492,244,0.126178,5,231,144,3,5,116
630,2010,490,249,0.136717,5,231,139,3,5,104
631,2007,494,256,0.124946,10,232,152,4,5,115
632,2007,483,267,0.127561,9,237,157,4,4,113
633,2008,489,279,0.126942,14,231,148,4,7,112
634,2006,475,281,0.116768,14,231,158,4,3,123
635,2003,462,280,0.11096,19,227,153,4,5,99
636,2005,460,263,0.147025,13,217,126,4,7,76
637,2005,457,291,0.101521,8,246,162,4,6,117
638,2007,479,286,0.127461,6,261,180,4,6,118
639,2009,482,302,0.126506,8,274,183,4,5,119
640,2006,491,305,0.0887216,8,276,193,4,5,148
641,2011,466,282,0.114857,12,247,170,3,4,122
642,2006,483,287,0.105214,11,251,167,4,5,128
643,2006,495,281,0.135926,13,245,160,4,6,115
644,2009,508,268,0.131462,9,243,157,4,5,115
645,2009,525,272,0.125862,23,244,156,4,5,116
646,2004,508,249,0.108309,14,204,124,3,7,90
647,2003,487,237,0.1159,10,211,133,3,4,105
648,2006,496,256,0.1268,13,220,140,4,5,104
649,2007,491,268,0.139788,11,233,149,4,5,105
650,2004,503,267,0.110875,12,226,158,4,5,120
651,2006,480,281,0.121465,14,247,164,4,4,126
652,2007,481,273,0.121945,10,236,158,4,5,115
653,2006,481,290,0.11804,8,241,162,3,5,118
654,2009,476,283,0.125054,18,223,137,4,4,97
655,2003,484,282,0.143057,8,236,140,4,4,87
656,2005,473,267,0.162769,7,234,146,4,5,91
657,2007,474,285,0.123115,7,253,176,4,7,112
658,2010,480,299,0.125679,5,278,183,4,5,114
659,2009,487,305,0.128397,3,296,200,4,7,122
660,2008,473,320,0.137372,3,307,213,4,7,131
661,2003,480,315,0.121679,11,295,197,4,7,117
662,2003,474,327,0.132698,3,306,221,4,5,146
663,2006,479,321,0.125144,5,288,215,4,6,143
664,2009,470,313,0.122496,5,278,191,3,5,130
665,2003,461,316,0.119623,4,297,217,4,5,162
666,2009,458,309,0.125667,3,266,190,4,5,128
667,2006,470,324,0.125557,3,304,208,4,6,152
668,2006,462,294,0.125534,4,266,187,4,5,125
669,2006,442,291,0.121375,4,272,211,4,6,142
670,2006,436,301,0.13266,3,277,189,4,5,134
671,2009,469,305,0.120525,5,278,203,4,6,138
672,2008,464,279,0.139625,4,261,179,4,4,121
673,2008,441,265,0.109021,3,251,173,4,4,119
674,2007,455,263,0.12225,6,251,165,3,3,120
675,2005,441,249,0.130812,8,241,160,3,7,115
676,2008,451,249,0.142243,3,236,158,4,6,115
677,2003,450,249,0.123109,4,240,157,4,4,119
678,2012,452,254,0.132563,5,238,145,4,5,103
679,2007,461,245,0.146325,4,233,155,4,5,114
680,2010,459,231,0.134656,4,220,151,4,4,117
681,2006,476,226,0.131642,4,212,127,3,5,87
682,2004,481,234,0.117266,4,222,161,4,4,129
683,2006,466,237,0.127605,9,208,151,4,3,122
684,2005,452,236,0.121615,5,222,149,3,5,118
685,2006,457,223,0.135788,4,198,131,4,4,99
686,2005,446,221,0.125991,7,204,142,3,4,111
687,2008,445,208,0.117812,5,198,124,3,4,89
688,2009,433,225,0.152837,5,205,127,4,3,95
689,2004,440,224,0.126214,6,202,138,3,5,104
690,2007,425,204,0.123217,5,189,125,3,4,94
691,2004,416,192,0.125153,9,163,110,4,5,81
692,2007,413,203,0.111516,7,185,129,3,3,110
693,2005,408,205,0.146651,11,181,121,3,4,92
694,2006,408,215,0.121245,5,193,135,3,4,109
695,2004,397,193,0.123908,4,188,145,3,3,113
696,2007,391,194,0.144764,4,191,146,4,4,110
697,2002,408,207,0.130139,4,203,150,4,3,119
698,2004,411,215,0.125651,6,212,161,3,5,113
699,2009,407,219,0.134457,5,210,153,3,3,110
700,2006,408,215,0.120093,6,202,157,3,3,125
701,2006,418,218,0.101712,5,212,160,3,5,117
702,2008,432,238,0.127731,5,230,162,4,4,109
703,2008,397,222,0.123952,5,214,157,3,4,110
704,2007,414,223,0.11394,7,211,156,3,4,118
705,2005,420,247,0.112308,4,239,180,3,5,122
706,2006,422,230,0.140237,4,223,157,3,4,106
707,2002,415,227,0.155023,3,221,157,3,4,102
708,2005,415,224,0.12478,3,223,168,3,3,110
709,2004,424,242,0.127755,3,238,167,3,4,120
710,2006,420,227,0.111132,3,224,168,3,4,123
711,2003,423,227,0.120246,3,223,175,3,3,126
712,2010,434,234,0.157924,4,223,147,3,6,100
713,2008,430,242,0.119358,4,242,190,3,4,123
714,2006,454,249,0.136873,4,243,178,3,3,116
715,2007,462,247,0.129766,3,246,191,3,3,127
716,2006,465,236,0.127326,3,236,182,3,3,119
717,2005,481,245,0.129559,3,243,179,3,5,124
718,2008,468,230,0.119306,3,226,177,3,5,107
719,2007,479,227,0.14266,5,217,161,3,5,100
720,2007,479,229,0.13294,3,222,166,3,5,106
721,2005,478,238,0.144088,3,235,172,3,5,113
722,2003,483,244,0.139448,3,244,190,3,4,131
723,2004,487,248,0.135696,3,247,184,3,4,121
724,2007,476,236,0.132021,3,236,184,3,7,126
725,2008,475,255,0.151868,3,255,186,3,5,133
726,2004,477,235,0.131979,3,234,185,3,3,132
727,2006,486,234,0.145185,3,231,179,3,4,120
728,2009,480,251,0.158354,3,249,182,3,3,115
729,2007,471,237,0.129006,3,236,184,3,3,120
730,2006,480,236,0.134218,3,236,178,3,4,112
731,2006,486,247,0.143089,3,247,188,3,5,124
732,2005,494,242,0.133582,3,241,170,3,4,119
733,2004,498,246,0.145477,3,243,186,3,5,126
734,2010,475,228,0.169805,3,227,166,3,5,108
735,2007,492,248,0.114442,4,245,187,3,3,139
736,2008,502,232,0.144588,3,232,175,3,4,104
737,2003,483,243,0.136866,3,243,179,3,4,117
738,2006,501,262,0.126686,3,260,204,3,4,135
739,2009,483,252,0.14039,3,252,183,3,4,128
740,2004,496,266,0.14336,3,263,189,3,4,110
741,2008,488,254,0.162971,3,251,165,3,6,108
742,2006,495,262,0.133464,3,257,185,3,6,124
743,2009,494,252,0.145468,3,249,176,3,4,122
744,2007,502,271,0.138937,3,265,195,3,5,132
745,2007,488,256,0.141377,4,249,163,3,5,99
746,2005,485,259,0.146744,3,257,173,3,5,106
747,2007,480,271,0.143213,3,268,180,3,4,128
748,2007,501,289,0.130555,2,286,189,3,6,131
749,2011,492,276,0.141871,3,263,178,3,5,120
750,2005,482,290,0.126417,5,286,193,3,6,141
751,2005,496,295,0.143463,2,295,201,3,5,129
752,2009,478,286,0.149409,2,286,201,3,5,132
753,2004,491,301,0.158007,3,295,203,3,5,125
754,2006,487,297,0.148513,3,294,194,3,5,119
755,2010,478,274,0.12815,2,274,197,3,4,139
756,2004,483,286,0.128769,2,286,192,3,4,134
757,2005,494,277,0.129201,3,275,182,3,5,118
758,2005,489,293,0.151584,3,291,190,3,5,129
759,2007,482,276,0.154937,4,271,182,3,5,128
760,2006,491,286,0.121331,2,286,179,3,6,136
761,2007,473,254,0.15294,3,254,145,3,7,101
762,2005,486,270,0.168486,4,266,168,3,5,107
763,2006,489,261,0.145697,3,260,176,3,4,122
764,2006,484,264,0.161302,3,264,161,3,5,115
765,2007,493,261,0.136248,3,260,177,3,3,119
766,2007,487,251,0.155422,3,251,167,3,5,109
767,2003,486,258,0.126145,3,258,178,3,4,128
768,2007,491,253,0.127167,3,253,179,3,4,125
769,2004,490,257,0.151269,6,252,179,3,6,126
770,2007,486,249,0.134559,3,247,170,3,6,115
771,2008,477,256,0.146305,3,254,168,3,5,121
772,2007,506,260,0.129457,3,255,196,3,5,124
773,2006,480,264,0.155123,3,262,166,3,7,119
774,2008,500,274,0.128177,2,273,184,3,6,142
775,2005,484,274,0.135901,2,270,192,3,4,138
776,2008,492,290,0.119146,3,287,203,3,3,149
777,2008,493,270,0.127571,2,270,187,3,4,140
778,2005,481,289,0.129897,2,286,181,3,5,149
779,2008,509,267,0.127261,3,263,172,3,5,136
780,2008,498,275,0.118232,3,268,203,3,5,137
781,2006,484,260,0.136458,3,259,171,3,5,137
782,2005,487,274,0.134841,2,268,186,3,4,149
783,2004,473,276,0.113516,2,273,200,3,3,145
784,2005,472,268,0.16184,3,265,169,3,6,121
785,2007,474,257,0.160602,3,256,180,3,4,120
786,2005,489,263,0.127526,3,260,195,3,5,134
787,2008,477,277,0.131429,2,270,195,3,3,150
788,2006,487,265,0.150493,3,263,182,3,4,133
789,2007,482,256,0.147182,3,256,196,3,4,140
790,2005,495,277,0.143097,2,277,188,3,4,156
791,2008,500,272,0.137463,2,269,178,3,6,149
792,2005,489,276,0.105233,2,276,184,3,4,153
793,2007,485,271,0.13954,2,271,206,3,4,158
794,2010,493,283,0.135888,2,283,182,3,4,149
795,2010,490,278,0.140662,2,278,169,3,6,134
796,2007,472,263,0.142927,3,262,209,2,4,173
797,2008,488,276,0.156507,2,274,189,3,4,164
798,2008,496,262,0.150457,3,258,175,3,5,147
799,2006,494,281,0.123049,2,281,196,3,5,163
